district_code,district_name_uz,district_name_en,region_iso,center_uz
2410,Shumanay tumani,Shumanay district,UZ-QR,Shumanay
2411,Taxtako'pir tumani,Taxtako'pir district,UZ-QR,Taxtako'pir
2412,To'rtko'l tumani,To'rtko'l district,UZ-QR,To'rtko'l
2413,Xo'jayli tumani,Xo'jayli district,UZ-QR,Xo'jayli
2414,Bo'zatov tumani,Bo'zatov district,UZ-QR,Bo'zatov
2501,Bulungur tumani,Bulungur district,UZ-SA,Bulungur
2502,Ishtixon tumani,Ishtixon district,UZ-SA,Ishtixon
2503,Jomboy tumani,Jomboy district,UZ-SA,Jomboy
2504,Kattaqo'rg'on tumani,Kattaqo'rg'on district,UZ-SA,Kattaqo'rg'on
2505,Narpay tumani,Narpay district,UZ-SA,Narpay
2506,Nurobod tumani,Nurobod district,UZ-SA,Nurobod
2507,Oqdaryo tumani,Oqdaryo district,UZ-SA,Oqdaryo
2508,Payariq tumani,Payariq district,UZ-SA,Payariq
2509,Pastdarg'om tumani,Pastdarg'om district,UZ-SA,Pastdarg'om
2510,Qo'shrabot tumani,Qo'shrabot district,UZ-SA,Qo'shrabot
2511,Samarqand tumani,Samarkand district,UZ-SA,Samarqand
2512,Toyloq tumani,Toyloq district,UZ-SA,Toyloq
2513,Urgut tumani,Urgut district,UZ-SA,Urgut
2514,Ishtiхon tumani,Ishtixon district,UZ-SA,Ishtixon
2601,Boyovut tumani,Boyovut district,UZ-SI,Boyovut
2602,Guliston tumani,Guliston district,UZ-SI,Guliston
2603,Mirzaobod tumani,Mirzaobod district,UZ-SI,Mirzaobod
2604,Oqoltin tumani,Oqoltin district,UZ-SI,Oqoltin
2605,Sardoba tumani,Sardoba district,UZ-SI,Sardoba
2606,Sayxunobod tumani,Sayxunobod district,UZ-SI,Sayxunobod
2607,Sirdaryo tumani,Sirdaryo district,UZ-SI,Sirdaryo
2608,Xovos tumani,Xovos district,UZ-SI,Xovos
2609,Yangiyer tumani,Yangiyer district,UZ-SI,Yangiyer
2701,Angor tumani,Angor district,UZ-SU,Angor
2702,Bandixon tumani,Bandixon district,UZ-SU,Bandixon
2703,Boysun tumani,Boysun district,UZ-SU,Boysun
2704,Denov tumani,Denov district,UZ-SU,Denov
2705,Jarqo'rg'on tumani,Jarqo'rg'on district,UZ-SU,Jarqo'rg'on
2706,Muzrabot tumani,Muzrabot district,UZ-SU,Muzrabot
2707,Oltinsoy tumani,Oltinsoy district,UZ-SU,Oltinsoy
2708,Qiziriq tumani,Qiziriq district,UZ-SU,Qiziriq
2709,Qumqo'rg'on tumani,Qumqo'rg'on district,UZ-SU,Qumqo'rg'on
2710,Sariosiyo tumani,Sariosiyo district,UZ-SU,Sariosiyo
2711,Sherobod tumani,Sherobod district,UZ-SU,Sherobod
2712,Sho'rchi tumani,Sho'rchi district,UZ-SU,Sho'rchi
2713,Termiz tumani,Termiz district,UZ-SU,Termiz
2714,Uzun tumani,Uzun district,UZ-SU,Uzun
2801,Bekabad tumani,Bekabad district,UZ-TO,Bekabad
2802,Bo'ka tumani,Bo'ka district,UZ-TO,Bo'ka
2803,Bo'stonliq tumani,Bo'stonliq district,UZ-TO,Bo'stonliq
2804,Chinoz tumani,Chinoz district,UZ-TO,Chinoz
2805,Oqqo'rg'on tumani,Oqqo'rg'on district,UZ-TO,Oqqo'rg'on
2806,Ohangaron tumani,Ohangaron district,UZ-TO,Ohangaron
2807,Parkent tumani,Parkent district,UZ-TO,Parkent
2808,Piskent tumani,Piskent district,UZ-TO,Piskent
2809,Qibray tumani,Qibray district,UZ-TO,Qibray
2810,Toshkent tumani,Tashkent district,UZ-TO,Toshkent
2811,Urtaqo'rg'on tumani,Urtaqo'rg'on district,UZ-TO,Urtaqo'rg'on
2812,Yangiyo'l tumani,Yangiyo'l district,UZ-TO,Yangiyo'l
2813,Yuqorichirchiq tumani,Yuqorichirchiq district,UZ-TO,Gazalkent
2814,Zangiota tumani,Zangiota district,UZ-TO,Qorasaroy
2901,Chilonzor tumani,Chilanzar district,UZ-TK,Toshkent
2902,Mirobod tumani,Mirobod district,UZ-TK,Toshkent
2903,Mirzo Ulug'bek tumani,Mirzo Ulugbek district,UZ-TK,Toshkent
2904,Olmazor tumani,Olmazor district,UZ-TK,Toshkent
2905,Uchtepa tumani,Uchtepa district,UZ-TK,Toshkent
2906,Yakkasaroy tumani,Yakkasaroy district,UZ-TK,Toshkent
2907,Yunusobod tumani,Yunusabad district,UZ-TK,Toshkent
2908,Yashnobod tumani,Yashnobod district,UZ-TK,Toshkent
2909,Shayxontohur tumani,Shaykhantakhur district,UZ-TK,Toshkent
2910,Bektemir tumani,Bektemir district,UZ-TK,Toshkent
2911,Sergeli tumani,Sergeli district,UZ-TK,Toshkent
3001,Bog'ot tumani,Bog'ot district,UZ-XO,Bog'ot
3002,Gurlan tumani,Gurlan district,UZ-XO,Gurlan
3003,Xiva tumani,Khiva district,UZ-XO,Xiva
3004,Xonqa tumani,Xonqa district,UZ-XO,Xonqa
3005,Shovot tumani,Shovot district,UZ-XO,Shovot
3006,Tuproqqal'a tumani,Tuproqqal'a district,UZ-XO,Tuproqqal'a
3007,Urganch tumani,Urgench district,UZ-XO,Urganch
3008,Yangiariq tumani,Yangiariq district,UZ-XO,Yangiariq
3009,Yangibozor tumani,Yangibozor district,UZ-XO,Yangibozor
3010,Qo'shko'pir tumani,Qo'shko'pir district,UZ-XO,Qo'shko'pir
